# Generated by scripts/update-file-icons.cs from nvim-tree/nvim-web-devicons@914decffe650296c87312c53b7933ecb86718499 (MIT). Don't edit.
# kind	key	codepoint	dark	light
name	.babelrc	e639	cbcb41	666620
name	.bash_profile	e615	89e051	447028
name	.bashrc	e615	89e051	447028
name	.clang-format	e823	97c3e6	4c6273
name	.clang-tidy	e823	97c3e6	4c6273
name	.clangd	e823	97c3e6	4c6273
name	.codespellrc	f04c6	35da60	239140
name	.condarc	e715	43b02a	2d751c
name	.dockerignore	f0868	458ee6	2e5f99
name	.ds_store	e615	41535b	41535b
name	.editorconfig	e652	fff2f2	333030
name	.env	f462	faf743	32310d
name	.eslintignore	e655	4b32c3	4b32c3
name	.eslintrc	e655	4b32c3	4b32c3
name	.git-blame-ignore-revs	e702	f54d27	b83a1d
name	.gitattributes	e702	f54d27	b83a1d
name	.gitconfig	e615	f54d27	b83a1d
name	.gitignore	e702	f54d27	b83a1d
name	.gitlab-ci.yml	f296	e24329	aa321f
name	.gitmodules	e702	f54d27	b83a1d
name	.gtkrc-2.0	f362	ffffff	333333
name	.gvimrc	e62b	019833	017226
name	.justfile	f0ad	6d8086	526064
name	.luacheckrc	e615	00a2ff	007abf
name	.luaurc	e615	00a2ff	007abf
name	.mailmap	f02a2	f54d27	b83a1d
name	.nanorc	e838	440077	440077
name	.npmignore	e71e	e8274b	ae1d38
name	.npmrc	e71e	e8274b	ae1d38
name	.nuxtrc	f1106	00c58e	00835f
name	.nvmrc	e718	5fa04e	3f6b34
name	.pnpmfile.cjs	e865	f9ad02	7c5601
name	.pre-commit-config.yaml	f06e2	f8b424	7c5a12
name	.prettierignore	e6b4	4285f4	3264b7
name	.prettierrc	e6b4	4285f4	3264b7
name	.prettierrc.cjs	e6b4	4285f4	3264b7
name	.prettierrc.js	e6b4	4285f4	3264b7
name	.prettierrc.json	e6b4	4285f4	3264b7
name	.prettierrc.json5	e6b4	4285f4	3264b7
name	.prettierrc.mjs	e6b4	4285f4	3264b7
name	.prettierrc.toml	e6b4	4285f4	3264b7
name	.prettierrc.yaml	e6b4	4285f4	3264b7
name	.prettierrc.yml	e6b4	4285f4	3264b7
name	.pylintrc	e615	6d8086	526064
name	.settings.json	e70c	854cc7	643995
name	.srcinfo	f08c7	0f94d2	0b6f9e
name	.vimrc	e62b	019833	017226
name	.xauthority	f369	e54d18	ac3a12
name	.xinitrc	f369	e54d18	ac3a12
name	.xresources	f369	e54d18	ac3a12
name	.xsession	f369	e54d18	ac3a12
name	.zprofile	e615	89e051	447028
name	.zshenv	e615	89e051	447028
name	.zshrc	e615	89e051	447028
name	_gvimrc	e62b	019833	017226
name	_vimrc	e62b	019833	017226
name	authors	edca	a172ff	6b4caa
name	authors.txt	edca	a172ff	6b4caa
